# Objective 2 ET0 cross-check
# our FAO-56 Penman-Monteith vs Open-Meteo published et0_fao_evapotranspiration
"# period 2025-01-01 to 2025-12-31, tolerance 0.2 mm/day"

site,n,mae_mm,rmse_mm,bias_mm,fraction_within_tolerance
Beed MH,2025-04-02,6.0351,6.1000,-0.0649
Beed MH,2025-04-03,5.5784,5.3600,0.2184
Beed MH,2025-04-04,6.3964,6.6000,-0.2036
Beed MH,2025-04-05,6.7613,7.0100,-0.2487
Beed MH,2025-04-06,6.8120,7.1100,-0.2980
Beed MH,2025-04-07,7.1103,7.4300,-0.3197
Beed MH,2025-04-08,6.7433,7.0400,-0.2967
Beed MH,2025-04-09,8.2073,8.1000,0.1073
Beed MH,2025-04-10,8.5568,8.5800,-0.0232
Beed MH,2025-04-11,7.3312,7.3900,-0.0588
Beed MH,2025-04-12,7.4906,7.7100,-0.2194
Beed MH,2025-04-13,7.2464,7.3200,-0.0736
Beed MH,2025-04-14,7.1855,7.2600,-0.0745
Beed MH,2025-04-15,6.5761,6.8400,-0.2639
Beed MH,2025-04-16,7.1453,7.2600,-0.1147
Beed MH,2025-04-17,7.3904,7.4700,-0.0796
Beed MH,2025-04-18,7.1794,7.0300,0.1494
Beed MH,2025-04-19,7.8078,7.7500,0.0578
Beed MH,2025-04-20,8.2331,8.3700,-0.1369
Beed MH,2025-04-21,7.2592,7.5200,-0.2608
Beed MH,2025-04-22,6.8666,7.0300,-0.1634
Beed MH,2025-04-23,8.4491,8.7000,-0.2509
Beed MH,2025-04-24,7.3974,7.6500,-0.2526
Beed MH,2025-04-25,7.6882,7.5300,0.1582
Beed MH,2025-04-26,7.9801,7.8600,0.1201
Beed MH,2025-04-27,6.6991,6.8700,-0.1709
Beed MH,2025-04-28,8.1425,8.0400,0.1025
Beed MH,2025-04-29,7.2544,7.3200,-0.0656
Beed MH,2025-04-30,8.0285,8.0300,-0.0015
Beed MH,2025-05-01,6.5756,6.6300,-0.0544
Beed MH,2025-05-02,7.2930,7.3500,-0.0570
Beed MH,2025-05-03,8.7639,8.8500,-0.0861
Beed MH,2025-05-04,8.6015,8.6600,-0.0585
Beed MH,2025-05-05,6.5164,6.6400,-0.1236
Beed MH,2025-05-06,8.3605,8.2500,0.1105
Beed MH,2025-05-07,7.1480,7.2900,-0.1420
Beed MH,2025-05-08,7.0807,7.0500,0.0307
Beed MH,2025-05-09,6.6358,6.6900,-0.0542
Beed MH,2025-05-10,6.6483,6.7000,-0.0517
Beed MH,2025-05-11,6.6609,6.3800,0.2809
Beed MH,2025-05-12,6.4654,5.9700,0.4954
Beed MH,2025-05-13,6.1269,6.0300,0.0969
Beed MH,2025-05-14,4.6564,4.3000,0.3564
Beed MH,2025-05-15,5.4351,5.2200,0.2151
Beed MH,2025-05-16,5.7563,5.1800,0.5763
Beed MH,2025-05-17,5.4932,5.2300,0.2632
Beed MH,2025-05-18,5.3883,5.1900,0.1983
Beed MH,2025-05-19,5.7828,5.5200,0.2628
Beed MH,2025-05-20,5.7831,5.4500,0.3331
Beed MH,2025-05-21,3.7646,3.3900,0.3746
Beed MH,2025-05-22,3.2317,2.8800,0.3517
Beed MH,2025-05-23,2.9482,2.4900,0.4582
Beed MH,2025-05-24,2.8684,2.2800,0.5884
Beed MH,2025-05-25,4.3906,4.2000,0.1906
Beed MH,2025-05-26,5.2248,4.4400,0.7848
Beed MH,2025-05-27,3.6195,3.1500,0.4695
Beed MH,2025-05-28,4.8429,4.1500,0.6929
Beed MH,2025-05-29,5.9707,5.6700,0.3007
Beed MH,2025-05-30,6.3209,5.9100,0.4109
Beed MH,2025-05-31,7.5023,6.9000,0.6023
Beed MH,2025-06-01,6.1475,5.7000,0.4475
Beed MH,2025-06-02,6.9716,6.7900,0.1816
Beed MH,2025-06-03,6.6296,6.2600,0.3696
Beed MH,2025-06-04,5.1214,5.0100,0.1114
Beed MH,2025-06-05,4.6177,4.1900,0.4277
Beed MH,2025-06-06,6.2989,6.1200,0.1789
Beed MH,2025-06-07,6.3873,6.1200,0.2673
Beed MH,2025-06-08,6.7035,6.5300,0.1735
Beed MH,2025-06-09,7.0069,6.7600,0.2469
Beed MH,2025-06-10,5.6168,5.1200,0.4968
Beed MH,2025-06-11,3.4973,3.0900,0.4073
Beed MH,2025-06-12,5.1033,4.8400,0.2633
Beed MH,2025-06-13,5.1899,5.0000,0.1899
Beed MH,2025-06-14,5.3117,5.2800,0.0317
Beed MH,2025-06-15,5.5943,5.2500,0.3443
Beed MH,2025-06-16,5.6956,5.1200,0.5756
Beed MH,2025-06-17,7.4217,7.0500,0.3717
Beed MH,2025-06-18,7.1306,6.5600,0.5706
Beed MH,2025-06-19,5.4256,4.6400,0.7856
Beed MH,2025-06-20,6.7773,6.3200,0.4573
Beed MH,2025-06-21,6.9564,6.5100,0.4464
Beed MH,2025-06-22,7.2728,7.0200,0.2528
Beed MH,2025-06-23,6.6372,5.9400,0.6972
Beed MH,2025-06-24,5.3471,4.8200,0.5271
Beed MH,2025-06-25,4.8218,4.3900,0.4318
Beed MH,2025-06-26,1.7721,1.6400,0.1321
Beed MH,2025-06-27,5.2484,4.8700,0.3784
Beed MH,2025-06-28,6.9482,6.7000,0.2482
Beed MH,2025-06-29,6.0310,5.3600,0.6710
Beed MH,2025-06-30,6.0594,5.2500,0.8094
Beed MH,2025-07-01,4.7586,4.2000,0.5586
Beed MH,2025-07-02,4.6410,4.1500,0.4910
Beed MH,2025-07-03,5.9711,5.3800,0.5911
Beed MH,2025-07-04,5.9769,5.5200,0.4569
Beed MH,2025-07-05,5.6105,4.8900,0.7205
Beed MH,2025-07-06,5.8665,5.2400,0.6265
Beed MH,2025-07-07,2.1791,1.7600,0.4191
Beed MH,2025-07-08,3.1681,2.4000,0.7681
Beed MH,2025-07-09,2.8037,2.3100,0.4937
Beed MH,2025-07-10,5.5712,5.3100,0.2612
Beed MH,2025-07-11,4.9887,4.7500,0.2387
Beed MH,2025-07-12,6.1346,5.7800,0.3546
Beed MH,2025-07-13,6.0544,5.6900,0.3644
Beed MH,2025-07-14,5.5978,5.1400,0.4578
Beed MH,2025-07-15,5.1103,4.4400,0.6703
Beed MH,2025-07-16,5.3274,5.1100,0.2174
Beed MH,2025-07-17,3.3986,3.1700,0.2286
Beed MH,2025-07-18,4.5028,4.2800,0.2228
Beed MH,2025-07-19,5.2679,5.1500,0.1179
Beed MH,2025-07-20,5.8358,5.7800,0.0558
Beed MH,2025-07-21,4.8856,4.7300,0.1556
Beed MH,2025-07-22,3.7644,3.1500,0.6144
Beed MH,2025-07-23,3.3754,2.9500,0.4254
Beed MH,2025-07-24,3.3076,2.7000,0.6076
Beed MH,2025-07-25,1.9657,1.5900,0.3757
Beed MH,2025-07-26,1.3638,1.3000,0.0638
Beed MH,2025-07-27,4.9261,4.2200,0.7061
Beed MH,2025-07-28,6.1135,5.5200,0.5935
Beed MH,2025-07-29,4.6131,3.8800,0.7331
Beed MH,2025-07-30,4.8260,4.4600,0.3660
Beed MH,2025-07-31,5.4776,5.0200,0.4576
Beed MH,2025-08-01,5.6053,5.3500,0.2553
Beed MH,2025-08-02,5.3281,5.1600,0.1681
Beed MH,2025-08-03,5.3967,5.2100,0.1867
Beed MH,2025-08-04,5.0305,4.9500,0.0805
Beed MH,2025-08-05,4.8298,4.7900,0.0398
Beed MH,2025-08-06,4.0587,3.8900,0.1687
Beed MH,2025-08-07,3.7318,3.5200,0.2118
Beed MH,2025-08-08,2.2800,1.9600,0.3200
Beed MH,2025-08-09,3.7424,3.3900,0.3524
Beed MH,2025-08-10,4.0869,3.8600,0.2269
Beed MH,2025-08-11,4.8074,4.4800,0.3274
Beed MH,2025-08-12,4.9000,4.6500,0.2500
Beed MH,2025-08-13,3.0104,2.6500,0.3604
Beed MH,2025-08-14,3.9626,3.5000,0.4626
Beed MH,2025-08-15,2.8103,2.3900,0.4203
Beed MH,2025-08-16,1.7830,1.5000,0.2830
Beed MH,2025-08-17,4.2288,3.7200,0.5088
Beed MH,2025-08-18,2.0942,1.6800,0.4142
Beed MH,2025-08-19,3.1803,2.7000,0.4803
Beed MH,2025-08-20,4.0170,3.6700,0.3470
Beed MH,2025-08-21,5.6173,5.2400,0.3773
Beed MH,2025-08-22,5.2879,4.9300,0.3579
Beed MH,2025-08-23,5.6583,5.3500,0.3083
Beed MH,2025-08-24,5.6243,5.3200,0.3043
Beed MH,2025-08-25,5.0579,4.8000,0.2579
Beed MH,2025-08-26,3.2342,2.9400,0.2942
Beed MH,2025-08-27,3.5818,3.1900,0.3918
Beed MH,2025-08-28,2.2143,1.7900,0.4243
Beed MH,2025-08-29,2.8524,2.2700,0.5824
Beed MH,2025-08-30,4.9676,4.7500,0.2176
Beed MH,2025-08-31,4.7893,4.4400,0.3493
Beed MH,2025-09-01,4.1042,3.6900,0.4142
Beed MH,2025-09-02,3.9672,3.4700,0.4972
Beed MH,2025-09-03,3.1250,2.8400,0.2850
Beed MH,2025-09-04,5.0737,4.7700,0.3037
Beed MH,2025-09-05,4.7204,4.3600,0.3604
Beed MH,2025-09-06,3.9416,3.5600,0.3816
Beed MH,2025-09-07,4.5084,4.2900,0.2184
Beed MH,2025-09-08,5.0400,4.9200,0.1200
Beed MH,2025-09-09,4.6758,4.8300,-0.1542
Beed MH,2025-09-10,4.6157,4.7200,-0.1043
Beed MH,2025-09-11,2.4875,2.2000,0.2875
Beed MH,2025-09-12,3.5395,3.2400,0.2995
Beed MH,2025-09-13,3.1966,2.9000,0.2966
Beed MH,2025-09-14,3.0304,2.8300,0.2004
Beed MH,2025-09-15,2.9932,2.6900,0.3032
Beed MH,2025-09-16,3.3057,3.0600,0.2457
Beed MH,2025-09-17,2.7322,2.5000,0.2322
Beed MH,2025-09-18,3.4532,3.3100,0.1432
Beed MH,2025-09-19,3.8436,3.7400,0.1036
Beed MH,2025-09-20,4.1566,4.0300,0.1266
Beed MH,2025-09-21,3.7496,3.3800,0.3696
Beed MH,2025-09-22,3.3494,3.0800,0.2694
Beed MH,2025-09-23,2.9366,2.6200,0.3166
Beed MH,2025-09-24,4.4217,4.3000,0.1217
Beed MH,2025-09-25,3.7633,3.5900,0.1733
Beed MH,2025-09-26,2.6775,2.3600,0.3175
Beed MH,2025-09-27,1.3722,1.1800,0.1922
Beed MH,2025-09-28,3.1174,2.7800,0.3374
Beed MH,2025-09-29,4.4868,4.1800,0.3068
Beed MH,2025-09-30,4.5122,4.4300,0.0822
Beed MH,2025-10-01,4.5512,4.4300,0.1212
Beed MH,2025-10-02,3.9765,3.7600,0.2165
Beed MH,2025-10-03,4.2989,4.3000,-0.0011
Beed MH,2025-10-04,3.9738,3.8700,0.1038
Beed MH,2025-10-05,3.5154,3.4300,0.0854
Beed MH,2025-10-06,3.4472,3.3100,0.1372
Beed MH,2025-10-07,4.1978,4.2700,-0.0722
Beed MH,2025-10-08,4.1509,4.2000,-0.0491
Beed MH,2025-10-09,4.2303,4.4900,-0.2597
Beed MH,2025-10-10,4.2611,4.5700,-0.3089
Beed MH,2025-10-11,4.2198,4.4700,-0.2502
Beed MH,2025-10-12,4.2198,4.4700,-0.2502
Beed MH,2025-10-13,4.2181,4.5000,-0.2819
Beed MH,2025-10-14,4.2168,4.4800,-0.2632
Beed MH,2025-10-15,3.9297,3.8600,0.0697
Beed MH,2025-10-16,4.3743,4.6300,-0.2557
Beed MH,2025-10-17,4.6784,4.7600,-0.0816
Beed MH,2025-10-18,4.4158,4.5800,-0.1642
Beed MH,2025-10-19,4.5941,4.7400,-0.1459
Beed MH,2025-10-20,4.8688,4.9600,-0.0912
Beed MH,2025-10-21,3.9431,3.9100,0.0331
Beed MH,2025-10-22,4.0762,4.0900,-0.0138
Beed MH,2025-10-23,4.3883,4.6800,-0.2917
Beed MH,2025-10-24,3.9168,3.8400,0.0768
Beed MH,2025-10-25,3.0539,2.8300,0.2239
Beed MH,2025-10-26,3.6041,3.4400,0.1641
Beed MH,2025-10-27,3.9485,3.6900,0.2585
Beed MH,2025-10-28,2.7531,2.6100,0.1431
Beed MH,2025-10-29,2.0564,1.9100,0.1464
Beed MH,2025-10-30,3.6997,3.5600,0.1397
Beed MH,2025-10-31,3.8499,3.7100,0.1399
Beed MH,2025-11-01,3.5227,3.3700,0.1527
Beed MH,2025-11-02,3.3304,3.1900,0.1404
Beed MH,2025-11-03,3.5737,3.5400,0.0337
Beed MH,2025-11-04,3.6806,3.6800,0.0006
Beed MH,2025-11-05,3.3752,3.4400,-0.0648
Beed MH,2025-11-06,3.5116,3.7100,-0.1984
Beed MH,2025-11-07,3.6009,4.0100,-0.4091
Beed MH,2025-11-08,3.4652,4.0100,-0.5448
Beed MH,2025-11-09,3.5892,4.0600,-0.4708
Beed MH,2025-11-10,3.5583,4.0700,-0.5117
Beed MH,2025-11-11,3.4444,3.9300,-0.4856
Beed MH,2025-11-12,3.5712,3.9500,-0.3788
Beed MH,2025-11-13,3.6764,4.0500,-0.3736
Beed MH,2025-11-14,4.0363,4.3300,-0.2937
Beed MH,2025-11-15,3.8858,4.2600,-0.3742
Beed MH,2025-11-16,3.9709,4.2900,-0.3191
Beed MH,2025-11-17,3.9185,4.1600,-0.2415
Beed MH,2025-11-18,3.6556,3.9900,-0.3344
Beed MH,2025-11-19,3.6063,4.0100,-0.4037
Beed MH,2025-11-20,3.9586,4.2300,-0.2714
Beed MH,2025-11-21,3.7101,3.9900,-0.2799
Beed MH,2025-11-22,4.0315,4.2700,-0.2385
Beed MH,2025-11-23,3.8842,4.1600,-0.2758
Beed MH,2025-11-24,4.2093,4.3900,-0.1807
Beed MH,2025-11-25,4.2903,4.4900,-0.1997
Beed MH,2025-11-26,4.3214,4.4900,-0.1686
Beed MH,2025-11-27,4.2170,4.3800,-0.1630
Beed MH,2025-11-28,3.6317,3.8200,-0.1883
Beed MH,2025-11-29,3.6087,3.8700,-0.2613
Beed MH,2025-11-30,3.3728,3.7800,-0.4072
Beed MH,2025-12-01,3.2185,3.6000,-0.3815
Beed MH,2025-12-02,3.2424,3.5900,-0.3476
Beed MH,2025-12-03,3.4879,3.7800,-0.2921
Beed MH,2025-12-04,3.6179,3.8900,-0.2721
Beed MH,2025-12-05,3.7774,3.9700,-0.1926
Beed MH,2025-12-06,3.6605,3.8300,-0.1695
Beed MH,2025-12-07,3.8373,4.0700,-0.2327
Beed MH,2025-12-08,3.6902,4.0200,-0.3298
Beed MH,2025-12-09,3.8762,4.2700,-0.3938
Beed MH,2025-12-10,3.9743,4.2700,-0.2957
Beed MH,2025-12-11,3.3594,3.8100,-0.4506
Beed MH,2025-12-12,3.4344,3.8600,-0.4256
Beed MH,2025-12-13,3.4656,3.9300,-0.4644
Beed MH,2025-12-14,3.9499,4.2200,-0.2701
Beed MH,2025-12-15,3.5428,3.9500,-0.4072
Beed MH,2025-12-16,3.8816,4.1300,-0.2484
Beed MH,2025-12-17,3.6998,3.9400,-0.2402
Beed MH,2025-12-18,3.2669,3.7700,-0.5031
Beed MH,2025-12-19,3.2550,3.7600,-0.5050
Beed MH,2025-12-20,3.5194,3.9500,-0.4306
Beed MH,2025-12-21,3.6178,3.8600,-0.2422
Beed MH,2025-12-22,3.4365,3.8700,-0.4335
Beed MH,2025-12-23,3.3135,3.7800,-0.4665
Beed MH,2025-12-24,3.5055,3.8300,-0.3245
Beed MH,2025-12-25,3.8863,4.2200,-0.3337
Beed MH,2025-12-26,3.6143,4.0300,-0.4157
Beed MH,2025-12-27,3.7111,4.1000,-0.3889
Beed MH,2025-12-28,3.5992,4.0000,-0.4008
Beed MH,2025-12-29,3.6027,4.0200,-0.4173
Beed MH,2025-12-30,3.3141,3.6600,-0.3459
Beed MH,2025-12-31,3.5302,3.8500,-0.3198
Ludhiana PB,2025-01-01,1.0799,1.1200,-0.0401
Ludhiana PB,2025-01-02,1.2814,1.4000,-0.1186
Ludhiana PB,2025-01-03,1.2860,1.5600,-0.2740
Ludhiana PB,2025-01-04,1.2376,1.4700,-0.2324
Ludhiana PB,2025-01-05,1.3016,1.5200,-0.2184
Ludhiana PB,2025-01-06,1.2718,1.4400,-0.1682
Ludhiana PB,2025-01-07,1.3024,1.4400,-0.1376
Ludhiana PB,2025-01-08,1.4714,1.6800,-0.2086
Ludhiana PB,2025-01-09,1.1211,1.5300,-0.4089
Ludhiana PB,2025-01-10,1.0965,1.3400,-0.2435
Ludhiana PB,2025-01-11,1.0343,0.9600,0.0743
Ludhiana PB,2025-01-12,1.4311,1.4900,-0.0589
Ludhiana PB,2025-01-13,1.6482,1.8600,-0.2118
Ludhiana PB,2025-01-14,1.6085,1.8500,-0.2415
Ludhiana PB,2025-01-15,1.1864,1.4700,-0.2836
Ludhiana PB,2025-01-16,1.5370,1.6700,-0.1330
Ludhiana PB,2025-01-17,1.5686,1.7300,-0.1614
Ludhiana PB,2025-01-18,1.1781,1.3000,-0.1219
Ludhiana PB,2025-01-19,1.4511,1.6000,-0.1489
Ludhiana PB,2025-01-20,1.8454,1.9700,-0.1246
Ludhiana PB,2025-01-21,1.7750,1.9400,-0.1650
Ludhiana PB,2025-01-22,1.8642,2.1100,-0.2458
Ludhiana PB,2025-01-23,1.9623,2.2500,-0.2877
Ludhiana PB,2025-01-24,2.0772,2.3600,-0.2828
Ludhiana PB,2025-01-25,2.2679,2.5200,-0.2521
Ludhiana PB,2025-01-26,2.3549,2.6000,-0.2451
Ludhiana PB,2025-01-27,2.2948,2.6500,-0.3552
Ludhiana PB,2025-01-28,2.2652,2.5000,-0.2348
Ludhiana PB,2025-01-29,2.4335,2.4100,0.0235
Ludhiana PB,2025-01-30,2.0893,2.3300,-0.2407
Ludhiana PB,2025-01-31,2.1370,2.4300,-0.2930
Ludhiana PB,2025-02-01,1.8070,1.9500,-0.1430
Ludhiana PB,2025-02-02,2.3015,2.4200,-0.1185
Ludhiana PB,2025-02-03,2.0741,2.3700,-0.2959
Ludhiana PB,2025-02-04,2.1042,2.2100,-0.1058
Ludhiana PB,2025-02-05,1.8995,2.2900,-0.3905
Ludhiana PB,2025-02-06,2.5571,2.7700,-0.2129
Ludhiana PB,2025-02-07,2.5719,2.8300,-0.2581
Ludhiana PB,2025-02-08,2.5441,2.7300,-0.1859
Ludhiana PB,2025-02-09,2.4279,2.7500,-0.3221
Ludhiana PB,2025-02-10,2.4185,2.7200,-0.3015
Ludhiana PB,2025-02-11,2.8519,3.3100,-0.4581
Ludhiana PB,2025-02-12,3.2407,3.4100,-0.1693
Ludhiana PB,2025-02-13,3.0838,3.3800,-0.2962
Ludhiana PB,2025-02-14,2.7793,3.1000,-0.3207
Ludhiana PB,2025-02-15,2.4172,2.6200,-0.2028
Ludhiana PB,2025-02-16,1.8894,2.0000,-0.1106
Ludhiana PB,2025-02-17,2.7860,3.1700,-0.3840
Ludhiana PB,2025-02-18,3.0491,3.3900,-0.3409
Ludhiana PB,2025-02-19,2.9751,3.2400,-0.2649
Ludhiana PB,2025-02-20,2.2891,2.0000,0.2891
Ludhiana PB,2025-02-21,2.4388,2.8400,-0.4012
Ludhiana PB,2025-02-22,2.8081,2.9800,-0.1719
Ludhiana PB,2025-02-23,2.8530,3.2200,-0.3670
Ludhiana PB,2025-02-24,3.1742,3.6000,-0.4258
Ludhiana PB,2025-02-25,2.2239,2.0700,0.1539
Ludhiana PB,2025-02-26,3.6425,3.5400,0.1025
Ludhiana PB,2025-02-27,2.1635,1.8200,0.3435
Ludhiana PB,2025-02-28,1.5948,1.3700,0.2248
Ludhiana PB,2025-03-01,2.7544,2.9800,-0.2256
Ludhiana PB,2025-03-02,3.2153,3.3600,-0.1447
Ludhiana PB,2025-03-03,2.5129,2.5600,-0.0471
Ludhiana PB,2025-03-04,3.2365,3.3700,-0.1335
Ludhiana PB,2025-03-05,3.6945,3.7200,-0.0255
Ludhiana PB,2025-03-06,3.4721,3.6700,-0.1979
Ludhiana PB,2025-03-07,3.5599,3.9000,-0.3401
Ludhiana PB,2025-03-08,3.7392,4.0500,-0.3108
Ludhiana PB,2025-03-09,3.9715,4.2000,-0.2285
Ludhiana PB,2025-03-10,4.6909,4.7300,-0.0391
Ludhiana PB,2025-03-11,3.2613,3.2500,0.0113
Ludhiana PB,2025-03-12,4.2643,4.2500,0.0143
Ludhiana PB,2025-03-13,3.4310,3.4800,-0.0490
Ludhiana PB,2025-03-14,3.5510,3.2700,0.2810
Ludhiana PB,2025-03-15,2.6955,2.7100,-0.0145
Ludhiana PB,2025-03-16,3.4880,3.9100,-0.4220
Ludhiana PB,2025-03-17,3.7918,4.2600,-0.4682
Ludhiana PB,2025-03-18,4.4024,4.7300,-0.3276
Ludhiana PB,2025-03-19,4.0506,4.3800,-0.3294
Ludhiana PB,2025-03-20,4.9365,5.2200,-0.2835
Ludhiana PB,2025-03-21,4.4613,4.8300,-0.3687
Ludhiana PB,2025-03-22,4.0264,4.5700,-0.5436
Ludhiana PB,2025-03-23,4.6156,4.9200,-0.3044
Ludhiana PB,2025-03-24,4.4105,4.8700,-0.4595
Ludhiana PB,2025-03-25,4.9196,5.0800,-0.1604
Ludhiana PB,2025-03-26,5.1809,4.9300,0.2509
Ludhiana PB,2025-03-27,6.5944,6.8200,-0.2256
Ludhiana PB,2025-03-28,6.0988,6.3600,-0.2612
Ludhiana PB,2025-03-29,6.2836,6.1900,0.0936
Ludhiana PB,2025-03-30,5.6826,5.8900,-0.2074
Ludhiana PB,2025-03-31,5.8460,6.0900,-0.2440
Ludhiana PB,2025-04-01,5.8398,6.1100,-0.2702
Ludhiana PB,2025-04-02,5.0766,5.6000,-0.5234
Ludhiana PB,2025-04-03,5.7657,5.9900,-0.2243
Ludhiana PB,2025-04-04,6.2059,6.3600,-0.1541
Ludhiana PB,2025-04-05,5.6592,5.8800,-0.2208
Ludhiana PB,2025-04-06,5.5278,5.8800,-0.3522
Ludhiana PB,2025-04-07,6.1343,6.2600,-0.1257
Ludhiana PB,2025-04-08,7.1123,7.0400,0.0723
Ludhiana PB,2025-04-09,6.5971,6.5600,0.0371
Ludhiana PB,2025-04-10,4.9744,4.6500,0.3244
Ludhiana PB,2025-04-11,5.5194,5.1400,0.3794
Ludhiana PB,2025-04-12,4.5072,4.4400,0.0672
Ludhiana PB,2025-04-13,4.8436,5.1700,-0.3264
Ludhiana PB,2025-04-14,5.5330,5.6400,-0.1070
Ludhiana PB,2025-04-15,6.5347,6.3300,0.2047
Ludhiana PB,2025-04-16,6.4234,6.2800,0.1434
Ludhiana PB,2025-04-17,6.5317,6.6700,-0.1383
Ludhiana PB,2025-04-18,6.5794,6.1900,0.3894
Ludhiana PB,2025-04-19,8.6947,8.2200,0.4747
Ludhiana PB,2025-04-20,9.0120,7.9200,1.0920
Ludhiana PB,2025-04-21,6.5458,6.6100,-0.0642
Ludhiana PB,2025-04-22,6.5505,6.7700,-0.2195
Ludhiana PB,2025-04-23,7.1942,7.4300,-0.2358
Ludhiana PB,2025-04-24,6.3207,6.7000,-0.3793
Ludhiana PB,2025-04-25,7.6250,7.8100,-0.1850
Ludhiana PB,2025-04-26,7.1003,7.4200,-0.3197
Ludhiana PB,2025-04-27,6.4131,6.7400,-0.3269
Ludhiana PB,2025-04-28,7.2612,7.2100,0.0512
Ludhiana PB,2025-04-29,8.3017,7.7700,0.5317
Ludhiana PB,2025-04-30,7.8171,7.4600,0.3571
Ludhiana PB,2025-05-01,7.1305,6.9400,0.1905
Ludhiana PB,2025-05-02,5.4773,5.2500,0.2273
Ludhiana PB,2025-05-03,4.7409,4.4100,0.3309
Ludhiana PB,2025-05-04,4.6773,4.3700,0.3073
Ludhiana PB,2025-05-05,3.2760,3.0700,0.2060
Ludhiana PB,2025-05-06,5.2150,5.1400,0.0750
Ludhiana PB,2025-05-07,5.7205,5.4600,0.2605
Ludhiana PB,2025-05-08,5.1234,4.7300,0.3934
Ludhiana PB,2025-05-09,5.1602,4.9000,0.2602
Ludhiana PB,2025-05-10,4.5652,4.4200,0.1452
Ludhiana PB,2025-05-11,5.6512,5.6600,-0.0088
Ludhiana PB,2025-05-12,5.8538,5.9700,-0.1162
Ludhiana PB,2025-05-13,6.0520,6.2400,-0.1880
Ludhiana PB,2025-05-14,6.3533,6.4400,-0.0867
Ludhiana PB,2025-05-15,6.5826,6.8200,-0.2374
Ludhiana PB,2025-05-16,6.5389,6.5500,-0.0111
Ludhiana PB,2025-05-17,7.0783,6.7900,0.2883
Ludhiana PB,2025-05-18,7.9626,7.3200,0.6426
Ludhiana PB,2025-05-19,7.3985,6.4500,0.9485
Ludhiana PB,2025-05-20,7.3957,6.8100,0.5857
Ludhiana PB,2025-05-21,6.7774,6.2900,0.4874
Ludhiana PB,2025-05-22,8.1495,7.5600,0.5895
Ludhiana PB,2025-05-23,7.9531,7.3300,0.6231
Ludhiana PB,2025-05-24,7.0246,6.4600,0.5646
Ludhiana PB,2025-05-25,6.2195,5.8800,0.3395
Ludhiana PB,2025-05-26,5.5166,5.4600,0.0566
Ludhiana PB,2025-05-27,5.8092,5.7100,0.0992
Ludhiana PB,2025-05-28,6.7708,6.4600,0.3108
Ludhiana PB,2025-05-29,6.7770,6.4800,0.2970
Ludhiana PB,2025-05-30,6.1739,5.5500,0.6239
Ludhiana PB,2025-05-31,7.3119,6.8100,0.5019
Ludhiana PB,2025-06-01,6.9848,6.7700,0.2148
Ludhiana PB,2025-06-02,6.1537,5.9600,0.1937
Ludhiana PB,2025-06-03,6.6139,6.4000,0.2139
Ludhiana PB,2025-06-04,5.7139,5.6400,0.0739
Ludhiana PB,2025-06-05,5.8125,5.8700,-0.0575
Ludhiana PB,2025-06-06,6.2252,6.2300,-0.0048
Ludhiana PB,2025-06-07,6.6891,6.6700,0.0191
Ludhiana PB,2025-06-08,7.8181,7.6700,0.1481
Ludhiana PB,2025-06-09,7.4589,7.4800,-0.0211
Ludhiana PB,2025-06-10,7.2995,7.3200,-0.0205
Ludhiana PB,2025-06-11,7.3779,7.0100,0.3679
Ludhiana PB,2025-06-12,7.8254,7.0200,0.8054
Ludhiana PB,2025-06-13,7.8895,7.2300,0.6595
Ludhiana PB,2025-06-14,7.0216,6.6900,0.3316
Ludhiana PB,2025-06-15,5.7662,5.1200,0.6462
Ludhiana PB,2025-06-16,4.5933,4.0900,0.5033
Ludhiana PB,2025-06-17,2.7419,2.3900,0.3519
Ludhiana PB,2025-06-18,5.2006,5.0200,0.1806
Ludhiana PB,2025-06-19,6.0626,5.8600,0.2026
Ludhiana PB,2025-06-20,6.0066,5.6300,0.3766
Ludhiana PB,2025-06-21,5.5816,5.1200,0.4616
Ludhiana PB,2025-06-22,4.9071,4.3700,0.5371
Ludhiana PB,2025-06-23,4.8202,4.4900,0.3302
Ludhiana PB,2025-06-24,5.6434,5.2000,0.4434
Ludhiana PB,2025-06-25,3.6948,3.2800,0.4148
Ludhiana PB,2025-06-26,4.5861,4.2600,0.3261
Ludhiana PB,2025-06-27,4.3623,4.1200,0.2423
Ludhiana PB,2025-06-28,5.0795,4.6500,0.4295
Ludhiana PB,2025-06-29,4.0974,3.7200,0.3774
Ludhiana PB,2025-06-30,3.0885,2.7900,0.2985
Ludhiana PB,2025-07-01,4.2374,3.7900,0.4474
Ludhiana PB,2025-07-02,5.1069,4.9900,0.1169
Ludhiana PB,2025-07-03,5.1532,4.9000,0.2532
Ludhiana PB,2025-07-04,4.8589,4.6200,0.2389
Ludhiana PB,2025-07-05,4.7876,4.5500,0.2376
Ludhiana PB,2025-07-06,4.0769,3.6700,0.4069
Ludhiana PB,2025-07-07,5.1888,4.9700,0.2188
Ludhiana PB,2025-07-08,4.4035,4.1600,0.2435
Ludhiana PB,2025-07-09,3.0634,2.8000,0.2634
Ludhiana PB,2025-07-10,4.5246,4.2100,0.3146
Ludhiana PB,2025-07-11,4.9333,4.7800,0.1533
Ludhiana PB,2025-07-12,1.9540,1.7500,0.2040
